Class #,Subject,Cat#,Sect#,Course Name,Hrs,Instructor,Enr Cap,Days,Time Start,Time End,Classroom Type,Room #
50410,BIOG,240,60L1,Cell & Molecular Biology for Engnrs II Lab,3.0,Abushirdaneh,24,W,13:05:00,15:55:00,,
50049,BIOL,101,600,General Biology I,3.0,Hassan,30,MWF,09:00:00,09:55:00,Biology Lab (B107),B107
50164,BIOL,101,601,General Biology I,3.0,Hassan,30,MWF,10:05:00,11:10:00,Biology Lab (B107),B107
50463,BIOL,101,602,General Biology I,3.0,Vahora,30,,,,Biology Lab (B107),B107
50266,BIOL,102,600,Gen Biology II,3.0,Amawi,30,,,,Regular Classroom (30 Cap),C107
57200,BIOL,102,601,Gen Biology II,3.0,Amawi,30,,,,Regular Classroom (30 Cap),C107
57403,BIOL,102,602,Gen Biology II,3.0,Amawi,30,,,,Regular Classroom (30 Cap),C107
50267,BIOL,104,600,Gen Biology II Lab,3.0,Hassan,24,,,,Biology Lab (B107),B107
57201,BIOL,104,601,Gen Biology II Lab,3.0,Hassan,24,,,,Biology Lab (B107),B107
50209,CHMG,141,600,General and Analytical Chemistry I,3.0,Vahora,30,,,,Chemistry Lab (B106),B106
50210,CHMG,141,601,General and Analytical Chemistry I,3.0,Durrani,30,,,,Chemistry Lab (B106),B106
50411,CHMG,141,602,General and Analytical Chemistry I,3.0,Durrani,30,,,,Chemistry Lab (B106),B106
57203,CHMG,141,603,General and Analytical Chemistry I,3.0,Durrani,30,,,,Chemistry Lab (B106),B106
50277,CHMG,142,600,General and Analytical Chemistry II,3.0,Amawi,30,,,,Regular Classroom (30 Cap),C107
50412,CHMG,146,600,General and Analytical Chemistry II Lab,3.0,Durrani,30,,,,Chemistry Lab (B106),B106
50030,MATH,90,600,Algebra,3.0,Madiha Farman,30,Online,13:05:00,14:25:00,,
,MATH,90,601,Algebra,3.0,TBD,30,,,,,
50031,MATH,101,600,College Algebra,3.0,Nagshineh,30,,,,Regular Classroom (46 Cap),
50406,MATH,101,601,College Algebra,3.0,Haroon Moidu,30,,,,Regular Classroom (46 Cap),
57407,MATH,101,602,College Algebra,3.0,Haroon Moidu,30,,,,Regular Classroom (46 Cap),
57408,MATH,101,603,College Algebra,3.0,Madiha Farman,30,,,,Regular Classroom (46 Cap),
50032,MATH,111,600,Precalculus,3.0,Madiha Farman,30,,,,Regular Classroom (30 Cap),
50198,MATH,111,60R1,Precalculus Recitation,1.0,Madiha Farman,30,online,11:00:00,11:55:00,,
50356,MATH,111,601,Precalculus,3.0,Ali Sayyad,30,,,,Regular Classroom (30 Cap),
50357,MATH,111,60R2,Precalculus Recitation,1.0,Ali Sayyad,30,,,,,
50033,MATH,131,600,Discrete Math,4.0,Al-Khamaiseh,30,,,,Regular Classroom (46 Cap),
50405,MATH,131,601,Discrete Math,4.0,Al-Khamaiseh,30,,,,Regular Classroom (46 Cap),
57232,MATH,131,602,Discrete Math,4.0,Muhammad Jamil,30,,,,Regular Classroom (46 Cap),
,MATH,131,603,Discrete Math,4.0,TBD,,,,,Regular Classroom (46 Cap),
50174,MATH,161,600,Applied Calculus,4.0,Nagshineh,30,,,,Regular Classroom (46 Cap),
50330,MATH,161,601,Applied Calculus,4.0,Nagshineh,30,,,,Regular Classroom (46 Cap),
50404,MATH,161,602,Applied Calculus,4.0,Nagshineh,30,,,,Regular Classroom (46 Cap),
50175,MATH,181,600,Calculus I,5.0,Belal Alkhamaiseh,30,,,,Regular Classroom (46 Cap),
50175,"""","""","""",Recitation,1.0,Madiha Farman,,,,,Regular Classroom (30 Cap),
50034,MATH,181,601,Calculus I,5.0,Belal Alkhamaiseh,30,,,,Regular Classroom (30 Cap),
